순번,용어,용어설명
2745,"검출기, 검파기"," 1. (방사선 유출 측정) 복사 선속(輻射 線束)의 관찰과 측정에 적합한 신호로 변환시키는 기기. 2. (전자기 에너지) 전자기장의 존재를 나타내는 장치. 주 : 측정기기와 결합하여 검출기는 복소 전자기장의 세기를 결정하는 데 사용될 수 있다. 3. (가공전력선 코로나 및 전파 잡음) 변조된 신호로부터 신호나 잡음, 또는 신호나 잡음의 특정한 특성을 검출하는 기기.  주 : 전파 잡음 수신기에서 검출기에 인가되는 전압은 잡음의 특성과 중간 주파수단 필터의 대역폭에 따라 다름. 대역폭에 무관하고, 입수가 용이한 장비로 보정이 가능하게 하기 위해 변조되지 않은 반송파가 사용되며, 그러한 입력에 대해 모든 검출기(평균값, 최대값, 준최대값, 실효값)는 동일한 값을 나타낼 것이다. <br> ☞ average detector, peak detector, quasi-peak detector, rms detector<br> 1. (monitoring radioactivity in effluents) Any device for converting radiation flux to a signal suitable for observation and measurement. 2. (electromagnetic energy) A device for the indication of the presence of electromagnetic fields. Note: In combination with an instrument, a detector may be employed for the determination of the complex field amplitudes. 3. (overhead-power-line corona and radio noise) A device that performs detection (extraction of signal or noise from a modulated input) and weighting (extraction of a particular characteristic of the signal or noise). Note: In a radio noise receiver, the voltage applied to the detector depends upon the nature of the noise and the bandwidth of the filters used in the intermediate frequency stages. To furnish calibration that is independent of the bandwidth and can be made with readily available equipment, an unmodulated carrier is used. With such input, all detectors (peak, quasi-peak, average, or rms) will indicate the same value of radio noise. IEEE Std 100-1996"
2746,검측,설계 측량이 완료되면 측량의 오차 및 측량 부족개소가 발생할 우려가 있으므로 측량 전체의 정밀도를 확인하기 위하여 시행하는 것.
2747,게이트턴오프 사이리스터,"반도체 소자의 일종으로서, 게이트에 역방향의 전류를 흐르게 하는 것으로 턴 오프할 수 있는 기능을 가진 사이리스터이다."
2748,견착식 전화 단말기, 주로 어깨에 부착하는 전화 단말기
2749,결상계전기,3상회로에 투입된 기기에 평형 3상입력이 가해지지 않은 경우에 (3상 중 1상의 입력이 가해지지 않은 경우) 기기 또는 회로를 보호하기 위해 차 단 또는 경보토록 하는 차단기 3상전동기의 단상운전을 방지하기 위하여 설치한다.
2750,결상또는역상 전압 계전기,"3상전력 공급 계통에서 불평형운전, 결상운전, 역상운전 또는 1선지락과 같은 불평형 고장시에 발생하는 역상분 전압을 검출하여 동작하는 계전기."
2751,결상보호,교류3상 전력계통에서 1상이 결상되면 불평형전류가 흐르거나 단상전력이 공급 되므로서 전력계통에 큰 피해를 줄수 있다. 따라서 각 설비별로 아래 와 같은 보호 방식이 적용된다. ① 차단기 : 차단기의 보조접점을 이용하여 3극이 동시에 투입 또는 개방되지 않을 경우를 검출하여 차단기를 trip시킨다. ② 일차측이 Fuse로 보호되는 주변압기 : 1상의 Fuse만이 용단될 경우에 대비하여 역상과전류계전기를 설치하고 이 계전기가 동작하면 주변압 기 2차측
2752,결정론적신뢰도지수,"발전계통에서 신뢰도 평가시 발전기의 고장정지를 확률적으로 취급하지 않고 결정하는 지수. 즉 임의의 값으로 결정하며 종류로는 설비 예비력, 설비 예비율, 최대 단위기법, 건기법 등이 있다."
2753,결합," 1. 두 개 이상의 회로 또는 시스템에서 전력 또는 신호정보가 한 장소에서 다른 장소로 전달되는 현상. 주 : 결합은 강결합과 약결합으로 분류된다. 강결합 과정에서는 규정된 변수사이의 위상변화가 작은 소자가 존재한다; 강결합 시스템간의 강한 상호결합은 수학적으로 시스템 메트릭스의 곱으로 표현된다. 2. 한 전송경로에서 다른 전송경로의 특정한 모드나 형태로의 전력 전달. 주 : 적은 양의 원하지 않는 결합은 때로는 분리 또는 교차결합으로 불리운다. 3. 전원 시스템으로부터의 교란 에너지가 전기통신 시스템으로 전파(傳播)되는 모드로서 자기(유도성) 결합, 전기(용량성) 결합, 전도성(저항성) 결합이 있다. 또한, 전자기 복사에 의한 결합이 있으며, 이것은 예를 들면 무선주파수장해(RFI), 전자기펄스(EMP) 및 코로나 등과 같은 복사 전자기장의 전파(傳播)와 관련이 있다. <br> 4. 금속선로나 광파이버와 같은 매질로부터 유사한 다른 매질로 에너지가 의도적으로 또는 비의도적으로 전달되는 것으로, 우연하게 전달되는 것도 포함한다. 주 : 결합의 예로는 용량성(정전) 결합, 유도성(자기) 결합, 전도성(저항성 또는 하드와이어) 결합과 광파이버 결합이 있다. <br> ☞ capacitive (electrostatic) coupling : 용량성(정전) 결합, inductive (magnetic) coupling : 유도성(자기) 결합, conducted (resistive or hard-wire) coupling : 전도성 (저항성, 하드와이어) 결합,  <br> 1. (ground systems) The association of two or more circuits or systems in such a way that power or signal information may be transferred from one to another.  Note  : Coupling is described as close or loose. A close-coupled process has elements with small phase shift between specified variables; close-coupled systems have large mutual effect shown mathematically by cross-products in the system matrix. 2. (waveguide) The power transfer from one transmission path to a particular mode or form in another.  Note  : Small, undesired coupling is sometimes called isolation, decoupling, or cross coupling. 3. The mode of propagation of disturbing energy from a power system to a telecommunications system. There are three forms of coupling between the two systems : magnetic(inductive) coupling, electric (capacitive) coupling, and conductive (resistive) coupling. In addition, coupling by electromagnetic radiation exists and is associated with propagation of radiation fields. e.g., radio frequency interference (RFI), electromagnetic pulse (EMP), and corona. IEEE Std 100-1996 <br> 4. The desirable or undesirable transfer of energy from one medium, such as a metallic wire or an optical fiber, to another like medium, including fortuitous transfer. Note: Examples of coupling include capacitive (electrostatic) coupling, inductive (magnetic) coupling, conducted (resistive or hard-wire) coupling, and fiber-optic coupling. <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a> "
2754,결합루프,"공동 공명기, 도파관(導波管), 송전선과 외부회로 사이에 에너지가 흐를수 있도록 하는 루프."
2755,결합인자(結合因子)," 주어진 회로의 특정 위치에 나타나는 전자기량과 결합에 의한 전자기량(일반적으로 전압 또는 전류) 에너지 전달로, 회로의 특정 위치에서의 전자기량과의 비. <br> The ratio of an electromagnetic quantity, usually  voltage or current, appearing at a specified location of a given circuit to the corresponding quantity at a specified location in the circuit from which energy is transferred by coupling. IEV 161-03-18 "
2756,경간,"하나의 전선로에서 서로 인접하고 있는 두 지지물 사이의 간격. 표준경간, 임계경간 및 등가경간 등이 있다."
2757,경간거리,두 개의 인접한 도체의 지지점 사이의 수평 거리.
2758,경보,배전자동화선로 운전시 배전선로 고장발생 등과 같이 배전사령원이 즉각 파악하고 조치 하여야 할 중요 운전 사항 경보기능은 특정 태그의 값이 사용자 가 설정한 기준을 넘어선 경우에 그 사실을 알리는 기능이다.
2759,과전압보호장치,해당회로에 설치된 기기 및 회로를 보호할 목적으로 설치된 장치. 과전압이 발생되었을때 방전되어 접지회로를 구성토록 하므로써 기기 및 회로를 안전 하게 보호하는 장치.
2760,관계전송기간,"손실이라는 용어는 수식어에 따라서 다른 의미를 가진다. 예를 들어 전력과 같은 하나의 물리적인 양에 대해 사용되었다 하더라도 마찬가지이다. 손실(이득의 경우도 마찬가지이다)이라는 단어를 포함하는 정의에 대해 다음과 같이 간단하게 설명하겠다. (1)회로에서의 전력 손실은, 필요치 않는 다른 형태의 전력으로 변환된다는 의미에서(예를 들면 I^2R 손실), SI 단위계에서 정의된대로 와 트 단위와 전력의 차원을 가지는 물리적 양이다. 주어진 R에 대해"
2761,관등회로,방전등용안정기(네온변압기를 포함한다)와 점등관등의 점등에 필요한 부속품과 방전관을 연결하는 회로를 말한다.
2762,관로,"지중송전 케이블과 그 부속재를 지하에 설치하기 위한 통로가 되는 구조물의 통칭. 케이블이 다른 지하 공사 등으로 인하여 절단되거나 손상되는 것 을 방지하는 목적으로도 설치하며, 인입식관로, 맨홀, 전력구 및 개거(open duct) 등이 있다. 일반적으로는 인입식관로를 의미한다."
2763,관로기중송전선,"철, 알루미늄, 스테인레스 파이프내에 동, 알루미늄의 도체를 에폭시 수지등의 스페이서로 지지하여 절연체와 SF6가스를 넣은 송전선."
2764,관로식포설,관로와 맨홀을 설치한 후 케이블을 관로에 인입하여 맨홀내에서 케이블을 접속할 수 있도록 포설하는 방식. 직매식과 같이 도로를 장기간 굴착된 상태 로 유지할 수 없는 도심지의 교통량이 많은 장소에서 적용되며 차후 증설이 예상되는 장소의 재굴착시에 따른 문제점을 고려하여 미리 관로와 맨홀을 매설한다.
2765,관통구,"배관, 기계장치 또는 전기연결부가 기기의 압력경계를 관통할 수 있도록 하는데 필요한 전기적 또는 기계적인 부품이나 부속물을 말한다. [MNA 1323.4]"
2766,관통형 변류기,"이차 권선은 철심상에 절연되어 감겨있고 일차 권선은 구성요소의 하나로서 상설되어 있는 것은 아닌, 도체(cable)가 통하게 되어있는 형태의 변 류기. 창 여는 구조이고, 이 창에 모선을 관통시키는 것에 따라 권수가 하나이고 완전히 절연된 일차권선을 얻을 수 있다."
2767,광 분포 온도측정시스템,"한 가닥의 광섬유를 사용하여 전력구내 온도를 감지하여 케이블 고장위치나 화재위치를 찾아내고, 선로를 적정 부하로 운전하기 위해 케이블 상시 온도를 측정하기 위한 시스템을 말함"
2768,광단국장치,광전송 시스템에 설치되는 종단장치로서 전송로는 광케이블로 구성되고 하위계층으로는 디지털 다중변환장치로 접속된다.
2769,광대역," 일반적으로 분해대역폭보다 넓은 대역폭을 갖는 경우를 말하며, 통신에서는 일반적인 음성 대역보다 더 넓은 전송대역을 말한다. 협대역과 대비한다.<br> ☞ narrow band : 협대역"
2770,광대역 기기(廣帶域 器機), 어떤 방출의 모든 스펙트럼 성분을 수신하여 처리할 수 있는 대역폭을 갖는 기기.<br> A device whose bandwidth is such that it is able to accept and process all the spectral components of a particular emission. IEV 161-06-12
2771,광대역 방출(廣帶域 放出)," 특정 측정기 또는 수신기보다 넓은 대역폭을 가진 방출. <br> ☞  broadband interference : 광대역 장해<br> An emission which has a bandwidth greater than that of a particular measuring apparatus or receiver. IEV 161-06-11, ANSI C63.14-1992"
